Width,Height,Roi.X1,Roi.Y1,Roi.X2,Roi.Y2,ClassId,Path
28,33,6,6,23,28,1,train/17/00017_00000_00000.png
28,33,6,6,22,28,1,train/17/00017_00000_00001.png
28,33,6,6,22,28,1,train/17/00017_00000_00002.png
26,33,5,6,21,28,1,train/17/00017_00000_00003.png
27,33,6,6,22,28,1,train/17/00017_00000_00004.png
26,33,5,6,21,28,1,train/17/00017_00000_00005.png
26,33,5,5,21,28,1,train/17/00017_00000_00006.png
25,32,5,5,20,27,1,train/17/00017_00000_00007.png
26,33,6,6,21,28,1,train/17/00017_00000_00008.png
25,31,5,5,20,25,1,train/17/00017_00000_00009.png
27,32,6,6,22,27,1,train/17/00017_00000_00010.png
27,32,6,6,22,27,1,train/17/00017_00000_00011.png
27,32,5,6,21,27,1,train/17/00017_00000_00012.png
27,32,5,6,22,27,1,train/17/00017_00000_00013.png
28,31,6,6,23,26,1,train/17/00017_00000_00014.png
27,31,5,6,22,26,1,train/17/00017_00000_00015.png
28,31,5,5,22,26,1,train/17/00017_00000_00016.png
28,32,5,6,23,27,1,train/17/00017_00000_00017.png
28,34,5,6,23,28,1,train/17/00017_00000_00018.png
30,34,6,6,25,29,1,train/17/00017_00000_00019.png
30,33,6,5,25,28,1,train/17/00017_00000_00020.png
30,33,6,5,25,28,1,train/17/00017_00000_00021.png
30,33,6,5,25,28,1,train/17/00017_00000_00022.png
30,33,6,5,25,28,1,train/17/00017_00000_00023.png
30,35,5,6,25,30,1,train/17/00017_00000_00024.png
30,35,5,6,25,30,1,train/17/00017_00000_00025.png
31,34,6,5,26,29,1,train/17/00017_00000_00026.png
30,36,6,5,25,31,1,train/17/00017_00000_00027.png
31,37,6,5,25,32,1,train/17/00017_00000_00028.png
31,36,6,6,26,31,1,train/17/00017_00000_00029.png
29,29,6,6,24,24,1,train/17/00017_00001_00000.png
30,30,6,6,25,25,1,train/17/00017_00001_00001.png
29,30,5,6,24,25,1,train/17/00017_00001_00002.png
29,29,5,5,24,24,1,train/17/00017_00001_00003.png
30,30,6,6,25,25,1,train/17/00017_00001_00004.png
29,29,5,5,23,23,1,train/17/00017_00001_00005.png
29,30,5,6,23,24,1,train/17/00017_00001_00006.png
30,31,5,6,24,25,1,train/17/00017_00001_00007.png
31,30,6,5,26,25,1,train/17/00017_00001_00008.png
32,32,6,6,27,27,1,train/17/00017_00001_00009.png
32,33,5,6,27,28,1,train/17/00017_00001_00010.png
32,32,5,5,27,27,1,train/17/00017_00001_00011.png
33,33,6,6,28,28,1,train/17/00017_00001_00012.png
33,34,5,6,28,29,1,train/17/00017_00001_00013.png
33,34,5,6,28,29,1,train/17/00017_00001_00014.png
34,35,5,6,29,30,1,train/17/00017_00001_00015.png
35,35,5,5,30,30,1,train/17/00017_00001_00016.png
37,36,6,5,32,31,1,train/17/00017_00001_00017.png
37,37,6,5,32,31,1,train/17/00017_00001_00018.png
37,37,5,5,32,32,1,train/17/00017_00001_00019.png
37,38,5,6,32,33,1,train/17/00017_00001_00020.png
39,38,6,5,34,33,1,train/17/00017_00001_00021.png
40,40,5,5,35,35,1,train/17/00017_00001_00022.png
42,43,5,6,37,38,1,train/17/00017_00001_00023.png
42,42,5,5,37,37,1,train/17/00017_00001_00024.png
45,45,5,5,39,40,1,train/17/00017_00001_00025.png
44,45,5,5,39,40,1,train/17/00017_00001_00026.png
47,49,5,6,41,43,1,train/17/00017_00001_00027.png
50,51,6,6,45,46,1,train/17/00017_00001_00028.png
52,53,6,6,47,48,1,train/17/00017_00001_00029.png
25,40,5,5,20,34,1,train/17/00017_00002_00000.png
27,41,6,6,21,35,1,train/17/00017_00002_00001.png
26,40,5,5,20,35,1,train/17/00017_00002_00002.png
27,41,6,6,22,36,1,train/17/00017_00002_00003.png
27,41,6,6,22,36,1,train/17/00017_00002_00004.png
27,42,6,6,22,37,1,train/17/00017_00002_00005.png
27,41,6,5,22,36,1,train/17/00017_00002_00006.png
28,43,6,6,22,38,1,train/17/00017_00002_00007.png
28,42,6,5,22,37,1,train/17/00017_00002_00008.png
27,44,5,6,22,39,1,train/17/00017_00002_00009.png
27,43,5,5,22,38,1,train/17/00017_00002_00010.png
29,44,6,6,24,39,1,train/17/00017_00002_00011.png
29,43,5,5,24,38,1,train/17/00017_00002_00012.png
29,44,5,6,24,39,1,train/17/00017_00002_00013.png
29,44,5,5,24,39,1,train/17/00017_00002_00014.png
29,45,5,6,24,40,1,train/17/00017_00002_00015.png
31,45,6,5,26,39,1,train/17/00017_00002_00016.png
31,45,5,5,26,39,1,train/17/00017_00002_00017.png
34,45,6,5,29,40,1,train/17/00017_00002_00018.png
33,45,6,6,28,40,1,train/17/00017_00002_00019.png
33,44,6,5,28,39,1,train/17/00017_00002_00020.png
33,46,5,5,28,41,1,train/17/00017_00002_00021.png
34,47,6,5,29,41,1,train/17/00017_00002_00022.png
34,48,5,6,28,43,1,train/17/00017_00002_00023.png
35,47,6,5,29,42,1,train/17/00017_00002_00024.png
35,49,6,6,30,44,1,train/17/00017_00002_00025.png
36,50,6,6,30,44,1,train/17/00017_00002_00026.png
36,51,6,6,31,46,1,train/17/00017_00002_00027.png
36,51,5,5,30,46,1,train/17/00017_00002_00028.png
36,52,5,5,31,47,1,train/17/00017_00002_00029.png
28,28,6,6,23,23,1,train/17/00017_00003_00000.png
27,28,5,5,22,23,1,train/17/00017_00003_00001.png
28,29,5,5,23,24,1,train/17/00017_00003_00002.png
28,29,5,5,23,24,1,train/17/00017_00003_00003.png
28,30,5,6,23,25,1,train/17/00017_00003_00004.png
29,30,6,6,24,25,1,train/17/00017_00003_00005.png
28,30,5,6,23,25,1,train/17/00017_00003_00006.png
29,30,6,6,24,25,1,train/17/00017_00003_00007.png
29,30,6,6,24,25,1,train/17/00017_00003_00008.png
29,30,5,5,24,25,1,train/17/00017_00003_00009.png
30,31,6,6,25,26,1,train/17/00017_00003_00010.png
31,31,5,5,25,26,1,train/17/00017_00003_00011.png
33,33,6,6,28,28,1,train/17/00017_00003_00012.png
33,34,5,6,27,28,1,train/17/00017_00003_00013.png
33,34,5,5,28,29,1,train/17/00017_00003_00014.png
33,34,5,5,28,29,1,train/17/00017_00003_00015.png
34,36,5,5,29,31,1,train/17/00017_00003_00016.png
35,37,5,5,30,31,1,train/17/00017_00003_00017.png
36,38,5,6,31,33,1,train/17/00017_00003_00018.png
37,38,5,5,32,32,1,train/17/00017_00003_00019.png
37,39,5,6,32,34,1,train/17/00017_00003_00020.png
39,41,5,6,34,35,1,train/17/00017_00003_00021.png
41,41,5,5,35,36,1,train/17/00017_00003_00022.png
43,45,5,5,38,39,1,train/17/00017_00003_00023.png
46,48,5,6,41,42,1,train/17/00017_00003_00024.png
49,49,6,6,44,44,1,train/17/00017_00003_00025.png
48,50,5,5,43,45,1,train/17/00017_00003_00026.png
