,,,Images/classified,367/318
workspace/training_demo/merged_images/test\00031.jpg,No entry,No entry,0.77635086,True
workspace/training_demo/merged_images/test\00035.jpg,No entry,No entry,0.7591102,True
workspace/training_demo/merged_images/test\00119.jpg,No entry,Yield,0.41574067,False
workspace/training_demo/merged_images/test\00144.jpg,No entry,No entry,0.8099443,True
workspace/training_demo/merged_images/test\00154.jpg,No entry,No entry,0.62467337,True
workspace/training_demo/merged_images/test\00169.jpg,No entry,No entry,0.81617296,True
workspace/training_demo/merged_images/test\00200.jpg,No entry,No entry,0.8260671,True
workspace/training_demo/merged_images/test\00204.jpg,No entry,No entry,0.6166421,True
workspace/training_demo/merged_images/test\00288.jpg,No entry,No entry,0.63789475,True
workspace/training_demo/merged_images/test\00318.jpg,No entry,No entry,0.60899675,True
workspace/training_demo/merged_images/test\00350.jpg,No entry,No entry,0.6208557,True
workspace/training_demo/merged_images/test\00388.jpg,No entry,No entry,0.6074796,True
workspace/training_demo/merged_images/test\00441.jpg,No entry,No entry,0.547049,True
workspace/training_demo/merged_images/test\00463.jpg,No entry,No entry,0.8411444,True
workspace/training_demo/merged_images/test\00490.jpg,No entry,No entry,0.6512354,True
workspace/training_demo/merged_images/test\00560.jpg,No entry,No entry,0.83639026,True
workspace/training_demo/merged_images/test\00580.jpg,No entry,No entry,0.83054954,True
workspace/training_demo/merged_images/test\00593.jpg,No entry,No entry,0.57266605,True
workspace/training_demo/merged_images/test\00629.jpg,No entry,No entry,0.8477687,True
workspace/training_demo/merged_images/test\00638.jpg,No entry,No entry,0.6317643,True
workspace/training_demo/merged_images/test\00642.jpg,No entry,No entry,0.6671806,True
workspace/training_demo/merged_images/test\00651.jpg,No entry,No entry,0.773912,True
workspace/training_demo/merged_images/test\00688.jpg,No entry,No entry,0.5387557,True
workspace/training_demo/merged_images/test\00743.jpg,No entry,No entry,0.7088514,True
workspace/training_demo/merged_images/test\00745.jpg,No entry,Keep right,0.42007014,False
workspace/training_demo/merged_images/test\00808.jpg,No entry,No entry,0.79996705,True
workspace/training_demo/merged_images/test\00814.jpg,No entry,No entry,0.7388935,True
workspace/training_demo/merged_images/test\00893.jpg,No entry,No entry,0.8119854,True
workspace/training_demo/merged_images/test\00929.jpg,No entry,No entry,0.5280737,True
workspace/training_demo/merged_images/test\01000.jpg,No entry,No entry,0.5699501,True
workspace/training_demo/merged_images/test\01048.jpg,No entry,No entry,0.78732073,True
workspace/training_demo/merged_images/test\01136.jpg,No entry,No passing veh over 3.5 tons,0.32802546,False
workspace/training_demo/merged_images/test\01163.jpg,No entry,No entry,0.78866786,True
workspace/training_demo/merged_images/test\01181.jpg,No entry,No entry,0.7043571,True
workspace/training_demo/merged_images/test\01221.jpg,No entry,No entry,0.64256626,True
workspace/training_demo/merged_images/test\01224.jpg,No entry,No entry,0.81803626,True
workspace/training_demo/merged_images/test\01253.jpg,No entry,No entry,0.7837948,True
workspace/training_demo/merged_images/test\01295.jpg,No entry,No entry,0.7136924,True
workspace/training_demo/merged_images/test\01329.jpg,No entry,No entry,0.8081314,True
workspace/training_demo/merged_images/test\01407.jpg,No entry,No entry,0.67826515,True
workspace/training_demo/merged_images/test\01428.jpg,No entry,No entry,0.6725177,True
workspace/training_demo/merged_images/test\01432.jpg,No entry,No entry,0.7373826,True
workspace/training_demo/merged_images/test\01509.jpg,No entry,No entry,0.74111915,True
workspace/training_demo/merged_images/test\01522.jpg,No entry,No entry,0.61851174,True
workspace/training_demo/merged_images/test\01570.jpg,No entry,No entry,0.86851454,True
workspace/training_demo/merged_images/test\01586.jpg,No entry,No entry,0.6937797,True
workspace/training_demo/merged_images/test\01592.jpg,No entry,No entry,0.7006801,True
workspace/training_demo/merged_images/test\01651.jpg,No entry,No entry,0.7761657,True
workspace/training_demo/merged_images/test\01662.jpg,No entry,No entry,0.47932312,True
workspace/training_demo/merged_images/test\01670.jpg,No entry,No entry,0.6949847,True
workspace/training_demo/merged_images/test\01682.jpg,No entry,Keep right,0.33974904,False
workspace/training_demo/merged_images/test\01693.jpg,No entry,No entry,0.7505081,True
workspace/training_demo/merged_images/test\01696.jpg,No entry,No entry,0.7841039,True
workspace/training_demo/merged_images/test\01738.jpg,No entry,No entry,0.57891357,True
workspace/training_demo/merged_images/test\01762.jpg,No entry,No entry,0.3426611,True
workspace/training_demo/merged_images/test\01838.jpg,No entry,No entry,0.74176836,True
workspace/training_demo/merged_images/test\01895.jpg,No entry,No entry,0.63187736,True
workspace/training_demo/merged_images/test\01935.jpg,No entry,No entry,0.5006751,True
workspace/training_demo/merged_images/test\01948.jpg,No entry,No entry,0.7765022,True
workspace/training_demo/merged_images/test\01962.jpg,No entry,No entry,0.7318774,True
workspace/training_demo/merged_images/test\01981.jpg,No entry,No entry,0.6383373,True
workspace/training_demo/merged_images/test\02006.jpg,No entry,No entry,0.7419819,True
workspace/training_demo/merged_images/test\02019.jpg,No entry,No entry,0.75376153,True
workspace/training_demo/merged_images/test\02079.jpg,No entry,No entry,0.68408465,True
workspace/training_demo/merged_images/test\02111.jpg,No entry,No entry,0.69673127,True
workspace/training_demo/merged_images/test\02141.jpg,No entry,No entry,0.71025085,True
workspace/training_demo/merged_images/test\02176.jpg,No entry,Keep right,0.5246488,False
workspace/training_demo/merged_images/test\02183.jpg,No entry,No entry,0.64124554,True
workspace/training_demo/merged_images/test\02225.jpg,No entry,No entry,0.7852063,True
workspace/training_demo/merged_images/test\02229.jpg,No entry,No entry,0.74424976,True
workspace/training_demo/merged_images/test\02287.jpg,No entry,No entry,0.5920714,True
workspace/training_demo/merged_images/test\02303.jpg,No entry,No entry,0.7221456,True
workspace/training_demo/merged_images/test\02304.jpg,No entry,No entry,0.82409006,True
workspace/training_demo/merged_images/test\02334.jpg,No entry,No entry,0.62095094,True
workspace/training_demo/merged_images/test\02377.jpg,No entry,No entry,0.79047996,True
workspace/training_demo/merged_images/test\02393.jpg,No entry,No entry,0.7152218,True
workspace/training_demo/merged_images/test\02443.jpg,No entry,No entry,0.8090502,True
workspace/training_demo/merged_images/test\02483.jpg,No entry,No entry,0.47132117,True
workspace/training_demo/merged_images/test\02518.jpg,No entry,Speed limit (80km/h),0.48966268,False
workspace/training_demo/merged_images/test\02545.jpg,No entry,No entry,0.41469038,True
workspace/training_demo/merged_images/test\02547.jpg,No entry,No entry,0.49572536,True
workspace/training_demo/merged_images/test\02588.jpg,No entry,No entry,0.5953462,True
workspace/training_demo/merged_images/test\02596.jpg,No entry,No entry,0.8321686,True
workspace/training_demo/merged_images/test\02598.jpg,No entry,No entry,0.852253,True
workspace/training_demo/merged_images/test\02720.jpg,No entry,No entry,0.7697379,True
workspace/training_demo/merged_images/test\02769.jpg,No entry,No entry,0.77899957,True
workspace/training_demo/merged_images/test\02825.jpg,No entry,No entry,0.739385,True
workspace/training_demo/merged_images/test\02833.jpg,No entry,No entry,0.47839808,True
workspace/training_demo/merged_images/test\02875.jpg,No entry,No entry,0.55898446,True
workspace/training_demo/merged_images/test\02907.jpg,No entry,Keep right,0.42079774,False
workspace/training_demo/merged_images/test\02915.jpg,No entry,No entry,0.59371,True
workspace/training_demo/merged_images/test\02942.jpg,No entry,No entry,0.5756532,True
workspace/training_demo/merged_images/test\02949.jpg,No entry,Yield,0.37203708,False
workspace/training_demo/merged_images/test\02963.jpg,No entry,No entry,0.6468974,True
workspace/training_demo/merged_images/test\02969.jpg,No entry,No entry,0.77261436,True
workspace/training_demo/merged_images/test\02984.jpg,No entry,No entry,0.7098159,True
workspace/training_demo/merged_images/test\02994.jpg,No entry,No entry,0.79707164,True
workspace/training_demo/merged_images/test\03029.jpg,No entry,No entry,0.61684555,True
workspace/training_demo/merged_images/test\03065.jpg,No entry,No entry,0.7119867,True
workspace/training_demo/merged_images/test\03079.jpg,No entry,No entry,0.84656274,True
workspace/training_demo/merged_images/test\03116.jpg,No entry,No entry,0.85040456,True
workspace/training_demo/merged_images/test\03165.jpg,No entry,No entry,0.81300795,True
workspace/training_demo/merged_images/test\03176.jpg,No entry,No entry,0.8756556,True
workspace/training_demo/merged_images/test\03183.jpg,No entry,No entry,0.5577529,True
workspace/training_demo/merged_images/test\03279.jpg,No entry,No entry,0.7518449,True
workspace/training_demo/merged_images/test\03317.jpg,No entry,No entry,0.8188488,True
workspace/training_demo/merged_images/test\03482.jpg,No entry,No entry,0.8177858,True
workspace/training_demo/merged_images/test\03532.jpg,No entry,No entry,0.7841998,True
workspace/training_demo/merged_images/test\03539.jpg,No entry,No entry,0.76830584,True
workspace/training_demo/merged_images/test\03560.jpg,No entry,Speed limit (80km/h),0.38206443,False
workspace/training_demo/merged_images/test\03583.jpg,No entry,No entry,0.7455527,True
workspace/training_demo/merged_images/test\03590.jpg,No entry,Keep right,0.46277937,False
workspace/training_demo/merged_images/test\03640.jpg,No entry,No entry,0.7454192,True
workspace/training_demo/merged_images/test\03644.jpg,No entry,Speed limit (80km/h),0.35094732,False
workspace/training_demo/merged_images/test\03652.jpg,No entry,No entry,0.6099154,True
workspace/training_demo/merged_images/test\03679.jpg,No entry,No entry,0.61644435,True
workspace/training_demo/merged_images/test\03710.jpg,No entry,No entry,0.5869392,True
workspace/training_demo/merged_images/test\03712.jpg,No entry,No entry,0.72835237,True
workspace/training_demo/merged_images/test\03736.jpg,No entry,Keep right,0.38081652,False
workspace/training_demo/merged_images/test\03823.jpg,No entry,No entry,0.8720423,True
workspace/training_demo/merged_images/test\03824.jpg,No entry,Keep right,0.38103873,False
workspace/training_demo/merged_images/test\03881.jpg,No entry,No entry,0.7024677,True
workspace/training_demo/merged_images/test\03907.jpg,No entry,Priority road,0.36717314,False
workspace/training_demo/merged_images/test\03951.jpg,No entry,No entry,0.6478855,True
workspace/training_demo/merged_images/test\03972.jpg,No entry,No entry,0.5611895,True
workspace/training_demo/merged_images/test\03986.jpg,No entry,No entry,0.3531794,True
workspace/training_demo/merged_images/test\04042.jpg,No entry,No entry,0.6395325,True
workspace/training_demo/merged_images/test\04047.jpg,No entry,No entry,0.81142503,True
workspace/training_demo/merged_images/test\04064.jpg,No entry,No entry,0.68419534,True
workspace/training_demo/merged_images/test\04103.jpg,No entry,No entry,0.717126,True
workspace/training_demo/merged_images/test\04111.jpg,No entry,No entry,0.4556479,True
workspace/training_demo/merged_images/test\04154.jpg,No entry,No entry,0.69843554,True
workspace/training_demo/merged_images/test\04175.jpg,No entry,Speed limit (80km/h),0.52166075,False
workspace/training_demo/merged_images/test\04211.jpg,No entry,No passing,0.40790877,False
workspace/training_demo/merged_images/test\04212.jpg,No entry,No entry,0.6986556,True
workspace/training_demo/merged_images/test\04214.jpg,No entry,No entry,0.7290189,True
workspace/training_demo/merged_images/test\04269.jpg,No entry,Speed limit (80km/h),0.4841531,False
workspace/training_demo/merged_images/test\04279.jpg,No entry,No entry,0.37138906,True
workspace/training_demo/merged_images/test\04287.jpg,No entry,No entry,0.62905383,True
workspace/training_demo/merged_images/test\04391.jpg,No entry,No entry,0.68565786,True
workspace/training_demo/merged_images/test\04394.jpg,No entry,No entry,0.75885725,True
workspace/training_demo/merged_images/test\04416.jpg,No entry,No entry,0.88293344,True
workspace/training_demo/merged_images/test\04448.jpg,No entry,No entry,0.8060415,True
workspace/training_demo/merged_images/test\04450.jpg,No entry,No entry,0.6356634,True
workspace/training_demo/merged_images/test\04468.jpg,No entry,No entry,0.81879014,True
workspace/training_demo/merged_images/test\04473.jpg,No entry,No entry,0.5978498,True
workspace/training_demo/merged_images/test\04507.jpg,No entry,No entry,0.80308026,True
workspace/training_demo/merged_images/test\04583.jpg,No entry,No entry,0.70029336,True
workspace/training_demo/merged_images/test\04750.jpg,No entry,No entry,0.8164567,True
workspace/training_demo/merged_images/test\04751.jpg,No entry,No entry,0.9074652,True
workspace/training_demo/merged_images/test\04767.jpg,No entry,Speed limit (80km/h),0.37288445,False
workspace/training_demo/merged_images/test\04797.jpg,No entry,No entry,0.72255003,True
workspace/training_demo/merged_images/test\04804.jpg,No entry,No entry,0.67993754,True
workspace/training_demo/merged_images/test\04809.jpg,No entry,No entry,0.6596438,True
workspace/training_demo/merged_images/test\04829.jpg,No entry,No entry,0.87767553,True
workspace/training_demo/merged_images/test\04911.jpg,No entry,No entry,0.8884213,True
workspace/training_demo/merged_images/test\04916.jpg,No entry,No entry,0.75734305,True
